0000000000000000 0000000000000000
0000010110000111 0000000000000000
0000101100001100 0000000000000000
0001000010001100 0000000000000000
0001011000000100 0000000000000000
0001101101110001 0000000000000000
0010000011010010 0000000000000000
0010011000100010 0000000000000000
0010101101100000 0000000000000000
0011000010001010 0000000000000000
0011010110011100 0000000000000000
0011101010010101 0000000000000000
0011111101110010 0000000000000000
0100010000110000 0000000000000000
0100100011001110 0000000000000000
0100110101001001 0000000000000000
0101000110011111 0000000000000000
0101010111001110 0000000000000000
0101100111010100 0000000000000000
0101110110101111 0000000000000000
0110000101011101 0000000000000000
0110010011011101 0000000000000000
0110100000101101 0000000000000000
0110101101001010 0000000000000000
0110111000110101 0000000000000000
0111000011101010 0000000000000000
0111001101101010 0000000000000000
0111010110110011 0000000000000000
0111011111000011 0000000000000000
0111100110011010 0000000000000000
0111101100110111 0000000000000000
0111110010011001 0000000000000000
0111110110111111 0000000000000000
0111111010101010 0000000000000000
0111111101010111 0000000000000000
0111111111001000 0000000000000000
0111111111111100 0000000000000000
0111111111110010 0000000000000000
0111111110101100 0000000000000000
0111111100101000 0000000000000000
0111111001101000 0000000000000000
0111110101101011 0000000000000000
0111110000110010 0000000000000000
0111101010111110 0000000000000000
0111100100001111 0000000000000000
0111011100100110 0000000000000000
0111010100000100 0000000000000000
0111001010101011 0000000000000000
0111000000011010 0000000000000000
0110110101010100 0000000000000000
0110101001011010 0000000000000000
0110011100101101 0000000000000000
0110001111001110 0000000000000000
0110000001000000 0000000000000000
0101110010000100 0000000000000000
0101100010011011 0000000000000000
0101010010001000 0000000000000000
0101000001001101 0000000000000000
0100101111101011 0000000000000000
0100011101100101 0000000000000000
0100001010111101 0000000000000000
0011110111110101 0000000000000000
0011100100010000 0000000000000000
0011010000001111 0000000000000000
0010111011110101 0000000000000000
0010100111000101 0000000000000000
0010010010000001 0000000000000000
0001111100101011 0000000000000000
0001100111000110 0000000000000000
0001010001010101 0000000000000000
0000111011011011 0000000000000000
0000100101011001 0000000000000000
0000001111010011 0000000000000000
1111111001001100 0000000000000000
1111100011000101 0000000000000000
1111001101000001 0000000000000000
1110110111000011 0000000000000000
1110100001001111 0000000000000000
1110001011100101 0000000000000000
1101110110001001 0000000000000000
1101100000111110 0000000000000000
1101001100000110 0000000000000000
1100110111100011 0000000000000000
1100100011011000 0000000000000000
1100001111101000 0000000000000000
1011111100010100 0000000000000000
1011101001100000 0000000000000000
1011010111001101 0000000000000000
1011000101011101 0000000000000000
1010110100010010 0000000000000000
1010100011110000 0000000000000000
1010010011110111 0000000000000000
1010000100101001 0000000000000000
1001110110001001 0000000000000000
1001101000011000 0000000000000000
1001011011011000 0000000000000000
1001001111001010 0000000000000000
1001000011110000 0000000000000000
1000111001001011 0000000000000000
1000101111011100 0000000000000000
1000100110100100 0000000000000000
1000011110100110 0000000000000000
1000010111100001 0000000000000000
1000010001010110 0000000000000000
1000001100000110 0000000000000000
1000000111110010 0000000000000000
1000000100011010 0000000000000000
1000000001111111 0000000000000000
1000000000100001 0000000000000000
1000000000000001 0000000000000000
1000000000011101 0000000000000000
1000000001110110 0000000000000000
1000000100001101 0000000000000000
1000000111100000 0000000000000000
1000001011101111 0000000000000000
1000010000111010 0000000000000000
1000010111000001 0000000000000000
1000011110000010 0000000000000000
1000100101111100 0000000000000000
1000101110101111 0000000000000000
1000111000011010 0000000000000000
1001000010111011 0000000000000000
1001001110010001 0000000000000000
1001011010011011 0000000000000000
1001100111011000 0000000000000000
1001110101000101 0000000000000000
1010000011100010 0000000000000000
1010010010101100 0000000000000000
1010100010100010 0000000000000000
1010110011000001 0000000000000000
1011000100001001 0000000000000000
1011010101110110 0000000000000000
1011101000000110 0000000000000000
1011111010111001 0000000000000000
1100001110001010 0000000000000000
1100100001111000 0000000000000000
1100110110000001 0000000000000000
1101001010100010 0000000000000000
1101011111011001 0000000000000000
1101110100100011 0000000000000000
1110001001111101 0000000000000000
1110011111100110 0000000000000000
1110110101011010 0000000000000000
1111001011010111 0000000000000000
1111100001011010 0000000000000000
1111110111100001 0000000000000000
0000001101101000 0000000000000000
0000100011101111 0000000000000000
0000111001110001 0000000000000000
0001001111101100 0000000000000000
0001100101011110 0000000000000000
0001111011000011 0000000000000000
0010010000011010 0000000000000000
0010100101100000 0000000000000000
0010111010010010 0000000000000000
0011001110101101 0000000000000000
0011100010110000 0000000000000000
0011110110011000 0000000000000000
0100001001100010 0000000000000000
0100011100001101 0000000000000000
0100101110010101 0000000000000000
0100111111111010 0000000000000000
