0000000000100010011011010011 0000000000000000000000000000 0000000000100010011011010011 0000000000000000000000000000
0000000000100010011011011011 0000000000000000001100011000 0000000000100010011011011101 0000000000000000000010111000
0000000000100010011011110001 0000000000000000011001000011 0000000000100010011011111010 0000000000000000000101110100
0000000000100010011100101010 0000000000000000100101100010 0000000000100010011100111110 0000000000000000001000101101
0000000000100010011101111101 0000000000000000110001110101 0000000000100010011110100001 0000000000000000001011100100
0000000000100010011111001000 0000000000000000111110101001 0000000000100010100000000001 0000000000000000001110100001
0000000000100010100000110010 0000000000000001001011000011 0000000000100010100010000100 0000000000000000010001011000
0000000000100010100011010000 0000000000000001010111101101 0000000000100010100100111111 0000000000000000010100010011
0000000000100010100101011010 0000000000000001100100011110 0000000000100010100111101100 0000000000000000010111001110
0000000000100010101000000100 0000000000000001110001001111 0000000000100010101010111101 0000000000000000011010001000
0000000000100010101010110000 0000000000000001111101111011 0000000000100010101110010100 0000000000000000011101000001
0000000000100010101110011110 0000000000000010001010111101 0000000000100010110010110100 0000000000000000011111111110
0000000000100010110001111010 0000000000000010010111101010 0000000000100010110111000101 0000000000000000100010110101
0000000000100010110110001100 0000000000000010100100100000 0000000000100010111100010000 0000000000000000100101101100
0000000000100010111010001111 0000000000000010110001101000 0000000000100011000001010010 0000000000000000101000100111
0000000000100010111111001101 0000000000000010111110110001 0000000000100011000111010101 0000000000000000101011100000
0000000000100011000100010011 0000000000000011001011101011 0000000000100011001101100001 0000000000000000101110010101
0000000000100011001001010100 0000000000000011011000111101 0000000000100011010011110000 0000000000000000110001001110
0000000000100011001111001101 0000000000000011100110101000 0000000000100011011010111110 0000000000000000110100001011
0000000000100011010101001001 0000000000000011110100010000 0000000000100011100010010011 0000000000000000110111000110
0000000000100011011011101001 0000000000000100000010000001 0000000000100011101010010010 0000000000000000111010000000
0000000000100011100010110000 0000000000000100001111101001 0000000000100011110010111011 0000000000000000111100110110
0000000000100011101001110110 0000000000000100011101011111 0000000000100011111011101001 0000000000000000111111101110
0000000000100011110001010100 0000000000000100101011110000 0000000000100100000100110111 0000000000000001000010101010
0000000000100011111001010010 0000000000000100111010000010 0000000000100100001110101001 0000000000000001000101100011
0000000000100100000001110110 0000000000000101001000010010 0000000000100100011001000110 0000000000000001001000011010
0000000000100100001010110000 0000000000000101010110100001 0000000000100100100011111101 0000000000000001001011001101
0000000000100100010011101011 0000000000000101100101100110 0000000000100100101111000010 0000000000000001001110001011
0000000000100100011101101101 0000000000000101110100101000 0000000000100100111011010001 0000000000000001010001000100
0000000000100100100111111010 0000000000000110000011100010 0000000000100101000111101111 0000000000000001010011111001
0000000000100100110010100010 0000000000000110010011001000 0000000000100101010100110011 0000000000000001010110110100
0000000000100100111101111001 0000000000000110100010110010 0000000000100101100010101011 0000000000000001011001101100
0000000000100101001001000000 0000000000000110110010011010 0000000000100101110000011000 0000000000000001011100100011
0000000000100101010101001011 0000000000000111000010011101 0000000000100101111111010001 0000000000000001011111011010
0000000000100101100001101100 0000000000000111010010110010 0000000000100110001110101000 0000000000000001100010010010
0000000000100101101110101110 0000000000000111100011001100 0000000000100110011110100101 0000000000000001100101000111
0000000000100101111100111010 0000000000000111110011111100 0000000000100110101111110101 0000000000000001100111111011
0000000000100110001010101101 0000000000001000000101011100 0000000000100111000000111010 0000000000000001101010111000
0000000000100110011001011101 0000000000001000010111000111 0000000000100111010011000010 0000000000000001101101110001
0000000000100110101000101111 0000000000001000101000101000 0000000000100111100101101111 0000000000000001110000100100
0000000000100110111001000011 0000000000001000111010101101 0000000000100111111001101001 0000000000000001110011011001
0000000000100111001001010100 0000000000001001001101001101 0000000000101000001101101010 0000000000000001110110010000
0000000000100111011011000100 0000000000001001100000001001 0000000000101000100011010100 0000000000000001111001000110
0000000000100111101101010011 0000000000001001110011011001 0000000000101000111001100110 0000000000000001111011111011
0000000000101000000000000011 0000000000001010000111010011 0000000000101001010000100111 0000000000000001111110110011
0000000000101000010011011111 0000000000001010011011011010 0000000000101001101000011100 0000000000000010000001101000
0000000000101000100111010110 0000000000001010110000000011 0000000000101010000000111000 0000000000000010000100011111
0000000000101000111100110110 0000000000001011000101010000 0000000000101010011011001000 0000000000000010000111010100
0000000000101001010010100011 0000000000001011011011000000 0000000000101010110101110010 0000000000000010001010001011
0000000000101001101001011110 0000000000001011110001000011 0000000000101011010001110100 0000000000000010001100111110
0000000000101010000001000110 0000000000001100001000000100 0000000000101011101110110110 0000000000000010001111110110
0000000000101010011001101011 0000000000001100011111010010 0000000000101100001100111100 0000000000000010010010101010
0000000000101010110011011101 0000000000001100110111000101 0000000000101100101100011011 0000000000000010010101011100
0000000000101011001110000110 0000000000001101010000001100 0000000000101101001101001110 0000000000000010011000010101
0000000000101011101010000010 0000000000001101101001011000 0000000000101101101111010111 0000000000000010011011000111
0000000000101100000111010100 0000000000001110000011010001 0000000000101110010011000100 0000000000000010011101111000
0000000000101100100101001101 0000000000001110011110011100 0000000000101110110111110110 0000000000000010100000101111
0000000000101101000100100110 0000000000001110111010001101 0000000000101111011110010101 0000000000000010100011100100
0000000000101101100101011000 0000000000001111010110111101 0000000000110000000110100001 0000000000000010100110011001
0000000000101110000111011010 0000000000001111110100010010 0000000000110000110000001100 0000000000000010101001001010
0000000000101110101011100110 0000000000010000010011000010 0000000000110001011100011011 0000000000000010101011111110
0000000000101111010000101001 0000000000010000110010010001 0000000000110010001001110000 0000000000000010101110101110
0000000000101111110111101100 0000000000010001010011001011 0000000000110010111001100111 0000000000000010110001100011
0000000000110000100000001001 0000000000010001110100100111 0000000000110011101011000100 0000000000000010110100010010
0000000000110001001010111101 0000000000010010010111111101 0000000000110100011111011111 0000000000000010110111000110
0000000000110001110111001100 0000000000010010111100011010 0000000000110101010101110000 0000000000000010111001111001
0000000000110010100101111100 0000000000010011100010001110 0000000000110110001110111011 0000000000000010111100101010
0000000000110011010110111001 0000000000010100001001101010 0000000000110111001010110110 0000000000000010111111011100
0000000000110100001010000111 0000000000010100110010011100 0000000000111000001001011110 0000000000000011000010001011
0000000000110100111111111110 0000000000010101011101010110 0000000000111001001011011101 0000000000000011000100111110
0000000000110101111000011011 0000000000010110001001101000 0000000000111010010000011100 0000000000000011000111101100
0000000000110110110011110101 0000000000010110111000001101 0000000000111011011001001010 0000000000000011001010011101
0000000000110111110010011111 0000000000010111101001010001 0000000000111100100101111011 0000000000000011001101001111
0000000000111000110100001111 0000000000011000011100001010 0000000000111101110110011000 0000000000000011001111111111
0000000000111001111010010000 0000000000011001010001110111 0000000000111111001011111111 0000000000000011010010101110
0000000000111011000011001000 0000000000011010001001111101 0000000001000000100101010001 0000000000000011010101011111
0000000000111100010000100100 0000000000011011000101000011 0000000001000010000100000100 0000000000000011011000001111
0000000000111101100010111100 0000000000011100000011000010 0000000001000011101000101011 0000000000000011011010111011
0000000000111110111001111000 0000000000011101000100110000 0000000001000101010011000110 0000000000000011011101101010
0000000001000000010110100100 0000000000011110001010011011 0000000001000111000100100010 0000000000000011100000011010
0000000001000001111000100010 0000000000011111010011111111 0000000001001000111100100010 0000000000000011100011001010
0000000001000011100001100011 0000000000100000100001110110 0000000001001010111100110111 0000000000000011100101110110
0000000001000101010001100100 0000000000100001110100100100 0000000001001101000101101111 0000000000000011101000100010
0000000001000111001001010001 0000000000100011001100111101 0000000001001111011000001010 0000000000000011101011010000
0000000001001001001001000011 0000000000100100101011010011 0000000001010001110100100111 0000000000000011101101111110
0000000001001011010010110000 0000000000100110010000011110 0000000001010100011101001000 0000000000000011110000101100
0000000001001101100111001110 0000000000100111111100110010 0000000001010111010010101000 0000000000000011110011011000
0000000001010000000111001010 0000000000101001110001010011 0000000001011010010110010000 0000000000000011110110000100
0000000001010010110100011010 0000000000101011101110111100 0000000001011101101010000010 0000000000000011111000110000
0000000001010101110000010110 0000000000101101110111011110 0000000001100001010000000100 0000000000000011111011011101
0000000001011000111101011100 0000000000110000001011011011 0000000001100101001010110010 0000000000000011111110001000
0000000001011100011101101101 0000000000110010101100101111 0000000001101001011100111001 0000000000000100000000110010
0000000001100000010011110001 0000000000110101011101101001 0000000001101110001001110011 0000000000000100000011011101
0000000001100100100010110000 0000000000111000100000101111 0000000001110011010101100001 0000000000000100000110001011
0000000001101001010000000000 0000000000111011110111100001 0000000001111001000101011110 0000000000000100001000110010
0000000001101110011110111110 0000000000111111100110101001 0000000001111111011110111110 0000000000000100001011011100
0000000001110100010110101010 0000000001000011110010011110 0000000010000110101010010011 0000000000000100001110000110
0000000001111010111101111101 0000000001001000100000000011 0000000010001110101111111111 0000000000000100010000110000
0000000010000010011111101011 0000000001001101110110001000 0000000010010111111100110101 0000000000000100010011011001
0000000010001011001000001010 0000000001010011111110001101 0000000010100010100000010011 0000000000000100010110000010
0000000010010101001000000110 0000000001011011000011101010 0000000010101110101110101001 0000000000000100011000101010
0000000010100000110110000100 0000000001100011010110100110 0000000010111101000011100100 0000000000000100011011010011
0000000010101110110000101010 0000000001101101001011111100 0000000011001110000100001011 0000000000000100011101111010
0000000010111111100011100010 0000000001111001000011000000 0000000011100010100110001001 0000000000000100100000100010
0000000011010100001110000100 0000000010000111101000011110 0000000011111011110111000010 0000000000000100100011001010
0000000011101110010000111110 0000000010011001111111100010 0000000100011011101100100111 0000000000000100100101110001
0000000100010000000110101110 0000000010110001110100111111 0000000101000101000011110101 0000000000000100101000010111
0000000100111101110101101010 0000000011010010000010001011 0000000101111100111101110111 0000000000000100101010111110
0000000101111111000100011101 0000000011111111111100010100 0000000111001100101101000110 0000000000000100101101100100
0000000111100011101000011100 0000000101000110101011100111 0000001001000111101000001001 0000000000000100110000001010
0000001010010010110110011011 0000000111000001111001110000 0000001100011101110011101010 0000000000000100110010110000
0000010000010000110110110011 0000001011001110011110010110 0000010011110000101111110111 0000000000000100110101010101
0000100111011010001100111101 0000011011011111110100111100 0000110000000011011101111000 0000000000000100110111111010
1110100110110000101101010001 1111000001000100001111001011 0001101101001100101011111100 1111111111101011110010000000
1111101011010001110011100010 1111110001001110101111010001 0000011001011100100101111001 1111111111101011110100100100
1111110100010101111110010000 1111110111100110100110111100 0000001110010111011011010111 1111111111101011110111001000
1111110111111011000001111000 1111111010000111101011001001 0000001001111111011011111111 1111111111101011111001101100
1111111001110101101010010000 1111111011011101111011000011 0000000111101001100010100001 1111111111101011111100001111
1111111011000010000010100001 1111111100010011101010011110 0000000110001100001011001001 1111111111101011111110110010
1111111011110110001011111010 1111111100111000010111010011 0000000101001100011011101101 1111111111101100000001010101
1111111100011100000011000001 1111111101010011000001110000 0000000100011110001001101001 1111111111101100000011110111
1111111100111000110010000100 1111111101100111010001010111 0000000011111011000001101001 1111111111101100000110011001
1111111101001111010101011110 1111111101110111001010111000 0000000011011111011101001110 1111111111101100001000111011
1111111101100001100000000010 1111111110000011111111001101 0000000011001001001111111100 1111111111101100001011011100
1111111101110000011100111000 1111111110001110100010110010 0000000010110110111110001101 1111111111101100001101111101
1111111101111100111101101110 1111111110010111011000010101 0000000010100111101011010111 1111111111101100010000011111
1111111110000111100110000100 1111111110011110111001101000 0000000010011010101011100000 1111111111101100010010111111
1111111110010000101111000011 1111111110100101010111101011 0000000010001111100000010101 1111111111101100010101011111
1111111110011000101011000011 1111111110101010111111110010 0000000010000101110011001000 1111111111101100010111111111
1111111110011111101000110101 1111111110101111111011101011 0000000001111101010010010010 1111111111101100011010011111
1111111110100101110010111100 1111111110110100010011101100 0000000001110101110000010010 1111111111101100011100111110
1111111110101011010001101101 1111111110111000001100111110 0000000001101111000011011100 1111111111101100011111011101
1111111110110000001100000000 1111111110111011101100001111 0000000001101001000011011010 1111111111101100100001111101
1111111110110100100110011110 1111111110111110110110100000 0000000001100011101001010110 1111111111101100100100010111
1111111110111000100111001011 1111111111000001101101010001 0000000001011110101111101100 1111111111101100100110110111
1111111110111100010000010011 1111111111000100010011110011 0000000001011010010010100111 1111111111101100101001010100
1111111110111111100101101001 1111111111000110101100100011 0000000001010110001101101000 1111111111101100101011110001
1111111111000010101001000001 1111111111001000111000011000 0000000001010010011110110001 1111111111101100101110001111
1111111111000101011100010001 1111111111001010111001010111 0000000001001111000011010010 1111111111101100110000101001
1111111111001000000010110000 1111111111001100110000110101 0000000001001011110111110000 1111111111101100110011000111
1111111111001010011100010110 1111111111001110011111011010 0000000001001000111011110111 1111111111101100110101100010
1111111111001100101011000011 1111111111010000000110010000 0000000001000110001101010011 1111111111101100110111111110
1111111111001110110000000011 1111111111010001100110000000 0000000001000011101010110011 1111111111101100111010011011
1111111111010000101100000111 1111111111010010111111101110 0000000001000001010011000001 1111111111101100111100110110
1111111111010010100000000101 1111111111010100010011111000 0000000000111111000101000010 1111111111101100111111010000
1111111111010100001100111110 1111111111010101100010101111 0000000000111100111111111010 1111111111101101000001101100
1111111111010101110011001100 1111111111010110101101010100 0000000000111011000010101010 1111111111101101000100000100
1111111111010111010010111000 1111111111010111110011011101 0000000000111001001101010000 1111111111101101000110011011
1111111111011000101101111001 1111111111011000110101011001 0000000000110111011110001100 1111111111101101001000111000
1111111111011010000011001101 1111111111011001110011110000 0000000000110101110101110010 1111111111101101001011010001
1111111111011011010011111001 1111111111011010101111011000 0000000000110100010010101001 1111111111101101001101100110
1111111111011100100000100101 1111111111011011100111101010 0000000000110010110100110010 1111111111101101001111111110
1111111111011101101001000100 1111111111011100011100011011 0000000000110001011100011011 1111111111101101010010011010
1111111111011110101110001101 1111111111011101001111100001 0000000000110000000111101011 1111111111101101010100110001
1111111111011111101111011110 1111111111011110000000001100 0000000000101110110111011010 1111111111101101010111000100
1111111111100000101101110110 1111111111011110101110000101 0000000000101101101011001110 1111111111101101011001011101
1111111111100001101001100001 1111111111011111011010001010 0000000000101100100010010001 1111111111101101011011110110
1111111111100010100010001011 1111111111100000000100010010 0000000000101011011100110110 1111111111101101011110001101
1111111111100011010111111011 1111111111100000101100101010 0000000000101010011010110001 1111111111101101100000011111
1111111111100100001011111001 1111111111100001010011010111 0000000000101001011011001001 1111111111101101100010110110
1111111111100100111101010000 1111111111100001111000001101 0000000000101000011110101111 1111111111101101100101001100
1111111111100101101100011111 1111111111100010011100000001 0000000000100111100100100100 1111111111101101100111011101
1111111111100110011010000011 1111111111100010111101111111 0000000000100110101100111011 1111111111101101101001110101
1111111111100111000101100001 1111111111100011011111000010 0000000000100101110111011010 1111111111101101101100000110
1111111111100111101111010000 1111111111100011111110001111 0000000000100101000100011110 1111111111101101101110011101
1111111111101000010111110001 1111111111100100011100101010 0000000000100100010010111110 1111111111101101110000110100
1111111111101000111110011111 1111111111100100111010000000 0000000000100011100011100010 1111111111101101110011001000
1111111111101001100011010101 1111111111100101010110001011 0000000000100010110110001110 1111111111101101110101011000
1111111111101010000111001110 1111111111100101110001100001 0000000000100010001010001110 1111111111101101110111101100
1111111111101010101001101101 1111111111100110001011110000 0000000000100001100000000000 1111111111101101111010000000
1111111111101011001011000001 1111111111100110100101001010 0000000000100000110111001101 1111111111101101111100010011
